[12-Jul-2016 15:27:55 UTC] PHP Notice:  Undefined variable: current_user in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:27:55 UTC] PHP Notice:  Trying to get property of non-object in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:27:56 UTC] PHP Notice:  Undefined variable: current_user in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:27:56 UTC] PHP Notice:  Trying to get property of non-object in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:28:25 UTC] PHP Notice:  Undefined variable: current_user in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:28:25 UTC] PHP Notice:  Trying to get property of non-object in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:28:26 UTC] PHP Notice:  Undefined variable: current_user in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:28:26 UTC] PHP Notice:  Trying to get property of non-object in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:28:42 UTC] PHP Notice:  Undefined variable: current_user in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 86
[12-Jul-2016 15:28:42 UTC] PHP Notice:  Trying to get property of non-object in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 86
[12-Jul-2016 15:28:43 UTC] PHP Notice:  Undefined variable: current_user in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 86
[12-Jul-2016 15:28:43 UTC] PHP Notice:  Trying to get property of non-object in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 86
[12-Jul-2016 15:29:05 UTC] PHP Notice:  Undefined variable: current_user in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:29:05 UTC] PHP Notice:  Trying to get property of non-object in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:29:06 UTC] PHP Notice:  Undefined variable: current_user in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:29:06 UTC] PHP Notice:  Trying to get property of non-object in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 88
[12-Jul-2016 15:34:24 UTC] PHP Notice:  Undefined variable: _SESSION in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 197
[12-Jul-2016 15:34:26 UTC] PHP Notice:  Undefined variable: _SESSION in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 197
[12-Jul-2016 15:34:28 UTC] PHP Notice:  Undefined variable: _SESSION in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 197
[12-Jul-2016 15:34:29 UTC] PHP Notice:  Undefined variable: _SESSION in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 197
[12-Jul-2016 15:34:43 UTC] PHP Notice:  Undefined variable: _SESSION in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 197
[12-Jul-2016 15:34:44 UTC] PHP Notice:  Undefined variable: _SESSION in /Users/chiragsharma/Documents/sites/yogacloud/wp-content/themes/yogacloud/header.php on line 197
